company_code,company_name
0315857285-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH PHÂN PHỐI GIẢI PHÁP VIỆT
0316884669-002,CHI NHÁNH 2 CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ SAGOVET
0317238844-001,CHI NHÁNH C CENTRAL HOTEL- CÔNG TY TNHH DDA HOTEL
0106924989-004,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY TNHH DỊCH VỤ VÀ GIẢI TRÍ K&H
0303351261-015,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN BÌNH � CHI NHÁNH ÂU CƠ
0312639151-004,VĂN PHÒNG ĐẠI DIỆN MIỀN NAM - CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN BẤT ĐỘNG SẢN SAO MỘC
0312654287-002,CHI NHÁNH CÔNG TY TNHH NHÀ HÀNG ENYA
0314062487-001,CHI NHÁNH CÔNG TY TNHH MAY MẶC KHOA LINH
0314248202-002,CHI NHÁNH 2 - CÔNG TY TNHH VẢI HÙNG HẠNH
0314299599-011,CHI NHÁNH MORICO BOX QUẬN 7 – CÔNG TY TNHH KAMO
0314614032-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TẬP ĐOÀN VIỆT TÍN
0317162507-001,CHI NHÁNH 1 CÔNG TY TNHH XD TM DV SẢN XUẤT NỘI THẤT T&T
5801358357-033,CHI NHÁNH VIỆN THẨM MỸ DIVA TÂN BÌNH THUỘC CÔNG TY CỔ PHẦN TẬP ĐOÀN DIVA GROUP
0302567652-187,CÔNG TY TNHH MỘT THÀNH VIÊN BLUE EXCHANGE - CHI NHÁNH SỐ 12 TP.HCM
0313491250-001,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ XUẤT NHẬP KHẨU INCOFFEE
0314636928-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ TRANG TRÍ NỘI THẤT PHÚC KHANG
0315901223-001,CÔNG TY CỔ PHẦN HOUSEZY - CHI NHÁNH TRƯỜNG CHINH
0316567099-002,CHI NHÁNH 2 - CÔNG TY TNHH TRULY BEAUTY
0317067853-002,CHI NHÁNH ORIENTAL - CÔNG TY CỔ PHẦN GETFIT BEAUTY & SPA
0317109408-001,CHI NHÁNH CÔNG TY TNHH BAO BÌ GIẤY MEBOX - XƯỞNG SẢN XUẤT
0317350035-001,CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ SMART HOME CAMERA
1101966289-002,CHI NHÁNH KHO HÀNG - CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI CƠ KHÍ THÁI LONG
0316405820-001,CHI NHÁNH CÔNG TY CỔ PHẦN THIẾT KẾ XÂY DỰNG VÀ CÔNG NGHỆ THUỶ MỘC
0317335051-001,CHI NHÁNH DOANH NGHIỆP TƯ NHÂN VÀNG BẠC ĐÁ QUÝ TÂN KIM SINH
4201340807-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐẦU TƯ PHÚC HẬU
0317349696-001,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐẦU TƯ VÀ PHÁT TRIỂN TRƯỜNG SƠN- CHI NHÁNH HÓC MÔN
1801530547-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ KINH DOANH VẬT LIỆU XÂY DỰNG THÁI SƠN
1900636209-001,CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH – CÔNG TY TNHH XUẤT NHẬP KHẨU SEAVIAN
0317339987-001,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỆT MAY THIÊN TUẤN - XƯỞNG DỆT VĨNH LỘC
0311934997-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN THƯƠNG MẠI KỸ THUẬT HẢI VÂN
8764604399-001,H� KINH DOANH SIX 9 STUDIO
0317369156,CÔNG TY LUẬT TNHH HHG VIỆT NAM
8763649502,NGUYỄN THỊ MỘNG UYÊN
0107706045-001,CHI NHÁNH CÔNG TY CỔ PHẦN DỊCH VỤ HÀNG KHÔNG HOÀN VŨ HÀ NỘI VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH
0301494112-003,CHI NHÁNH HỢP TÁC XÃ THƯƠNG MẠI DỊCH VỤ NGUYỄN CƯ TRINH-CÀ PHÊ K5
8764322299-001,LÊ THỊ OANH
8763458610,PHAN QUỐC HIỆP
8764152992-001,NGUYỄN MINH PHƯƠNG
8764250848-001,NGUYỄN ĐÌNH CHỦ
8764254585-001,PHỒNG A LỤC
0110027149-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG SKY GROUP TẠI HỒ CHÍ MINH
0303982764-006,CHI NHÁNH ĐỖ XUÂN HỢP - CÔNG TY TNHH VIỆT HẠ CHÍ
0312078996-079,CHI NHÁNH CÔNG TY TNHH LILAMITI
0312195192-001,VĂN PHÒNG ĐẠI DIỆN TẠI TPHCM - CÔNG TY TNHH VẬN TẢI DU LỊCH GIA NGHĨA
0314832288-002,CHI NHÁNH CÔNG TY CỔ PHẦN THÔNG GIÓ CÔNG NGHIỆP BREEZE
0315698028-002,CHI NHÁNH 1 CÔNG TY TNHH DỊCH VỤ MASSAGE H.HẠNH LONG
0315959424-001,CHI NHÁNH CÔNG TY CỔ PHẦN DOANH NHÂN THỜI ĐẠI MỚI - CÂU LẠC BỘ DOANH NHÂN THỜI ĐẠI MỚI
0316685247-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CHỒI XANH MEDIA
0316756628-002,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI NAM AUTO-CHI NHÁNH NAM AUTO
0800940115-003,CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT VÀ THƯƠNG MẠI HCD-CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH
4401053302-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐẦU TƯ VÀ XÂY DỰNG DUYÊN HẢI MIỀN TRUNG VN
0308971156-002,VĂN PHÒNG ĐẠI DIỆN 2 CÔNG TY TNHH DỊCH VỤ BẠN ĐỒNG ĐỘI
0313332966-001,CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THƯƠNG MẠI - DỊCH VỤ - DU LỊCH MINH THƯ
0312301838-044,CHI NHÁNH TÔ HIẾN THÀNH CÔNG TY TNHH BOBAPOP
0312637193-002,CHI NHÁNH 2 - CÔNG TY CỔ PHẦN NỒI HƠI SÀI GÒN
0313311483-001,CHI NHÁNH CÔNG TY TNHH THIẾT KẾ VÀ IN ẤN TIẾN PHÁT
0313671140-001,CHI NHÁNH CÔNG TY TNHH THIẾT KẾ IN ẤN NGỌC PHƯỚC
0314250850-002,CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN ITALINO
0314396842-001,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI BKV - CHI NHÁNH Q.9
0315906140-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN NOVA HOLDING
0317210479-002,CHI NHÁNH CÔNG TY TNHH NHA KHOA NHÂN HÒA
0317338479-001,CHI NHÁNH CÔNG TY TNHH TRANG TRÍ NỘI NGOẠI THẤT PHÚ KIM
0105857722-006,VĂN PHÒNG ĐẠI DIỆN MIỀN NAM CÔNG TY CỔ PHẦN DỊCH VỤ BẢO VỆ KỸ AN
0302309845-079,CHI NHÁNH CÔNG TY TNHH CAO PHONG TẠI LINH XUÂN-SIÊU THỊ ĐIỆN MÁY NỘI THẤT CHỢ LỚN
0312261582-004,CHI NHÁNH CÔNG TY TNHH QUYỀN PHONG
0314285733-002,CHI NHÁNH 2 - CÔNG TY TNHH ĐÀO TẠO CHÂU Á - THÁI BÌNH DƯƠNG
0314517448-002,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ ĐẮC THÀNH
0315040574-004,CHI NHÁNH 4 CÔNG TY TNHH HUY NGUYỄN GROUP
0315118372-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN DỊCH VỤ KỸ THUẬT SUNSHINE
0315899983-004,GIẢI PHÁP DU HỌC CHI NHÁNH - CÔNG TY CỔ PHẦN MNI GROUP
0315924679-002,CHI NHÁNH CÔNG TY TNHH BỒI DƯỠNG VĂN HÓA NGỌC BẢO CHÂU
0316002998-001,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ BLUEBIRD
0316006199-001,CHI NHÁNH CÔNG TY TNHH VN TEC
0316373015-001,CHI NHÁNH TẠI HÓC MÔN - CÔNG TY TNHH VI DIỆU PHÁP HÀNH THIỀN TÂN HOÀ ĐÔNG
0316795578-002,CHI NHÁNH QUẬN 12 - CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ LOTI FOOD
0316904072-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MAR6 STUDIOS
0317157507-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TVX GROUP
0317338373-001,CHI NHÁNH CÔNG TY TNHH XƯA & NAY FNB
4100467236-001,CÔNG TY TNHH VI TÍNH QUI NHƠN - CHI NHÁNH TẠI TP. HỒ CHÍ MINH
0311282011-008,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN DKRA VIỆT NAM
0312378245-001,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CƠ ĐIỆN LẠNH MINH PHÚC
0317365673,CÔNG TY TNHH TM - DV - SX - XNK HƯƠNG MAI
0317365659,CÔNG TY TNHH TM DV CAO THANH PHONG
0317364581,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÁT TRIÊN PHƯƠNG TRANG
0317365521,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI MÊ VÂN
0317366042,CÔNG TY CỔ PHẦN REAL CORP
0317362986,CÔNG TY TNHH THE NOBLE SWAN HOTEL SAIGON
0317366187,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGUYỄN HỮU CẢNH
0317366074,CÔNG TY TNHH XUẤT NHẬP KHẨU GIAI LONG
0317366081,CÔNG TY TNHH BMO INT
0317365465,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐOÀN THANH TIẾN
0317365592,CÔNG TY TNHH VỆ SINH CÔNG NGHIỆP BẢO HƯƠNG
0317366035,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ GIÁO DỤC NGHỆ THUẬT THỜI ĐẠI MỚI TOPART
0317365384,CÔNG TY TNHH TRUYỀN THÔNG TRÍ DŨNG
0317365754,CÔNG TY TNHH SIX VALLEY
0317365112,CÔNG TY CỔ PHẦN ĐẦU TƯ KIẾN TRÚC XÂY DỰNG TVC
0317365391,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KHÁNH NGỌC 108
0317364461,CÔNG TY TNHH THƯƠNG MẠI & DỊCH VỤ TS ENTERTAINMENT
0317365779,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TBT
0317365137,CÔNG TY TNHH VƯỜN ƯƠM KETA4KIDS
0317365722,CÔNG TY CỔ PHẦN EV SOLUTIONS
0317365151,CÔNG TY TNHH PHAN THỊNH THÀNH
0317365433,CÔNG TY CỔ PHẦN AD09
0317365666,CÔNG TY CỔ PHẦN BOXCO VIỆT NAM
0317365401,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỰC PHẨM SẠCH DŨNG TRANG
0317365419,CÔNG TY TNHH XUẤT NHẬP KHẨU NÔNG SẢN SHIN-LON
0317365426,CÔNG TY TNHH KHANG DENTAL
0317365546,CÔNG TY CỔ PHẦN ĐẦU TƯ VBHC
0317365264,CÔNG TY TNHH KHOÁN SẢN XÂY DỰNG BÌNH KHÁNH
0317365056,CÔNG TY TNHH REVIET
3603206165-002,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THÁI DANH
0317365994,CÔNG TY TNHH PHÁT TRIỂN BẢO MINH CHÂU
0317366067,CÔNG TY TNHH XUẤT NHẬP KHẨU - THƯƠNG MẠI - TƯ VẤN - ĐẦU TƯ MISO
0317365088,CÔNG TY TNHH PHÚC ĐẠT BÌNH ĐIỀN
0317365070,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ CATHY
0317365200,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÚC ĐẠI VŨ
0317364422,CÔNG TY TNHH IKAN
0317363524,CÔNG TY TNHH VẬN TẢI VÀ LOGISTICS GOLDEN STAR
0317364415,CÔNG TY TNHH MỘT THÀNH VIÊN LNK HOME
0317365641,CÔNG TY TNHH TL GROUP
0317364408,CÔNG TY TNHH TƯ VẤN THIẾT KẾ XÂY DỰNG THƯƠNG MẠI & DỊCH VỤ THẮNG PHÁT
0317365017,CÔNG TY TNHH NGHỆ THUẬT BA LÊ
0317365560,CÔNG TY TNHH CIASSI
